Welcome to the profile statistics browser.
cProfile.out% Wed Jan 15 17:53:44 2025    cProfile.out

         53266001 function calls (53251305 primitive calls) in 21.731 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'difference_update' of 'set' objects}
       48    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
       57    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
      115    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
       24    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
      203    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
       37    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      727    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      461    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       20    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
     2467    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x1014f7a68}
       40    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      274    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
    10207    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
       24    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
15985/15978    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'title' of 'str' objects}
     7188    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
     5486    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      204    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
     2051    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
    86131    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
      710    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     9494    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     2495    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       14    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
     5687    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       34    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
    93276    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
     1728    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'removeprefix' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
     1023    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     6513    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      757    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       72    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
1259/1162    0.009    0.000    0.173    0.000 {built-in method builtins.__build_class__}
   426/15    0.000    0.000    0.396    0.026 {built-in method builtins.__import__}
     8778    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      150    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      288    0.000    0.000    0.000    0.000 {built-in method builtins.any}
    30961    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
     2204    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       89    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      439    0.011    0.000    0.011    0.000 {built-in method builtins.dir}
      369    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       59    0.001    0.000    0.002    0.000 {built-in method builtins.eval}
    325/1    0.001    0.000   21.732   21.732 {built-in method builtins.exec}
    67872    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
      426    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
15027/14986    0.002    0.000    0.004    0.000 {built-in method builtins.hasattr}
1391/1252    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1190    0.000    0.000    0.000    0.000 {built-in method builtins.id}
    68377    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
     4007    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      522    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
352699/351520    0.012    0.000    0.012    0.000 {built-in method builtins.len}
      107    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
     1792    0.001    0.000    0.001    0.000 {built-in method builtins.max}
    61986    0.005    0.000    0.005    0.000 {built-in method builtins.min}
      770    0.000    0.000    0.001    0.000 {built-in method builtins.next}
     5696    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      618    0.016    0.000    0.016    0.000 {built-in method builtins.print}
      421    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
     4614    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     4315    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
       74    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      456    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       18    0.000    0.000    0.000    0.000 {method 'get' of '_contextvars.ContextVar' objects}
      314    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
      314    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
     2533    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     2533    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      105    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      364    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
    38/35    0.076    0.002    0.079    0.002 {built-in method _imp.create_dynamic}
       38    0.006    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      311    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      311    0.019    0.000    0.019    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.000    0.000 {built-in method sys.audit}
      779    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       37    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
